company,salaries,interviews,review,jobs,benefits,location
HGS,20500.0,274.0,7500.0,16.0,968.0,BPO | Bengaluru +122 other locations
Jana Small Finance Bank,14400.0,307.0,7500.0,42.0,623.0,Banking | Bengaluru +419 other locations
Ujjivan Small Finance Bank,13300.0,323.0,7500.0,594.0,580.0,Banking | Bengaluru +537 other locations
Sun Pharmaceutical Industries,23300.0,667.0,7500.0,386.0,594.0,Pharma | Vadodara +264 other locations
Amazon Development Centre India,38600.0,889.0,7500.0,4.0,360.0,Internet | Hyderabad +146 other locations
Lupin,22500.0,444.0,7300.0,19.0,764.0,Pharma | Pune +205 other locations
Ekart Logistics,16100.000000000002,407.0,7300.0,0.0,422.0,Logistics | Bengaluru +741 other locations
Zydus Lifesciences,20000.0,450.0,7300.0,50.0,605.0,Pharma | Ahmedabad +178 other locations
L&T Construction,19300.0,948.0,7300.0,0.0,929.0,Engineering & Construction | Chennai +433 other locations
Hindustan Unilever,20500.0,470.0,7200.0,51.0,704.0,FMCG | Mumbai +540 other locations
KPMG India,66000.0,931.0,7200.0,69.0,749.0,Management Consulting | Bengaluru +112 other locations
ITC,24800.0,695.0,7100.0,89.0,638.0,FMCG | Bengaluru +377 other locations
Axis Max Life Insurance,20300.0,407.0,7100.0,157.0,495.0,Insurance | New Delhi +503 other locations
Megha Engineering & Infrastructures,18700.0,566.0,6900.0,34.0,539.0,Engineering & Construction | Hyderabad +405 other locations
Tata Projects,22700.0,601.0,6800.0,52.0,540.0,Engineering & Construction | Mumbai +287 other locations
Coforge,50100.0,715.0,6700.0,181.0,273.0,IT Services & Consulting | Noida +103 other locations
Bajaj Life Insurance,17400.0,446.0,6500.0,69.0,474.0,Insurance | Pune +615 other locations
Cholamandalam Investment & Finance,12700.0,284.0,6500.0,42.0,293.0,Financial Services | Chennai +855 other locations
L&T Technology Services,43400.0,631.0,6500.0,0.0,444.0,IT Services & Consulting | Bengaluru +93 other locations
FIS,38900.0,536.0,6500.0,126.0,721.0,FinTech | Pune +60 other locations
Oracle,63000.0,950.0,6300.0,113.0,617.0,Software Product | Bengaluru +56 other locations
Omega Healthcare,26900.0,551.0,6300.0,168.0,391.0,BPO | Chennai +69 other locations
Muthoot Finance,12900.0,355.0,6300.0,120.0,325.0,NBFC | Bengaluru +791 other locations
IIFL Finance,14000.0,329.0,6300.0,79.0,399.0,NBFC | Mumbai +807 other locations
JLL,24400.0,487.0,6300.0,413.0,539.0,Real Estate | Gurugram +85 other locations
Indian Army,9400.0,206.0,6200.0,0.0,728.0,Defence & Aerospace | New Delhi +363 other locations
eClerx,32500.0,638.0,6200.0,663.0,555.0,IT Services & Consulting | Pune +32 other locations
HCL Group,39300.0,520.0,6100.0,0.0,661.0,IT Services & Consulting | Chennai +97 other locations
DMart,18400.0,551.0,6000.0,213.0,470.0,Retail | Mumbai +248 other locations
Virtusa Consulting Services,57000.0,675.0,6000.0,1200.0,318.0,IT Services & Consulting | Hyderabad +55 other locations
Piramal Finance,12300.0,295.0,6000.0,8.0,445.0,NBFC | Mumbai +424 other locations
Indiamart Intermesh,21500.0,754.0,5900.0,176.0,432.0,Internet | Noida +174 other locations
HSBC Group,43800.0,548.0,5900.0,126.0,1100.0,Financial Services | Bengaluru +63 other locations
PolicyBazaar,17500.0,630.0,5900.0,724.0,231.0,Internet | Gurugram +150 other locations
SMFG India Credit,10900.0,210.0,5900.0,56.0,348.0,NBFC | Mumbai +596 other locations
Access Healthcare,28900.0,400.0,5800.0,1800.0,347.0,BPO | Chennai +63 other locations
BigBasket,19300.0,487.0,5800.0,78.0,381.0,Internet | Bengaluru +142 other locations
Siemens,34200.0,508.0,5700.0,81.0,632.0,Industrial Automation | Bengaluru +155 other locations
Aurobindo Pharma,20700.0,291.0,5700.0,24.0,468.0,Pharma | Hyderabad +115 other locations
Udaan,15700.0,372.0,5700.0,8.0,755.0,Internet | Bengaluru +367 other locations
GlobalLogic,41100.0,684.0,5700.0,37.0,515.0,IT Services & Consulting | Hyderabad +62 other locations
Firstsource Solutions,24700.0,364.0,5700.0,177.0,570.0,BPO | Bengaluru +74 other locations
Manappuram Finance,9200.0,224.0,5700.0,13.0,260.0,NBFC | Bengaluru +657 other locations
ICICI Lombard General Insurance Company,20300.0,356.0,5700.0,224.0,366.0,Insurance | Mumbai +318 other locations
Tata Capital,15900.0,274.0,5700.0,4900.0,257.0,NBFC | Mumbai +446 other locations
Shapoorji Pallonji Group,15500.0,427.0,5600.0,70.0,632.0,Engineering & Construction | Mumbai +189 other locations
Standard Chartered,42200.0,323.0,5600.0,0.0,305.0,Banking | Chennai +67 other locations
UST,39900.0,591.0,5600.0,91.0,408.0,IT Services & Consulting | Bengaluru +51 other locations
Apollo Hospitals,16600.0,487.0,5600.0,224.0,507.0,Healthcare | Chennai +228 other locations
Mahindra Finance,12100.0,220.0,5600.0,545.0,507.0,NBFC | Mumbai +737 other locations
Bosch Global Software Technologies,40500.0,392.0,5600.0,19.0,625.0,IT Services & Consulting | Bengaluru +47 other locations
Ashok Leyland,19000.0,325.0,5500.0,1.0,642.0,Automobile | Chennai +266 other locations
Swiggy,23500.0,576.0,5500.0,249.0,340.0,Internet | Bengaluru +238 other locations
Citicorp,53500.0,630.0,5500.0,0.0,517.0,Financial Services | Pune +68 other locations
Hero MotoCorp,15900.0,410.0,5400.0,1.0,584.0,Automobile | Gurugram +369 other locations
CGI Group,46300.0,560.0,5300.0,484.0,354.0,IT Services & Consulting | Bengaluru +43 other locations
Cyient,27500.0,334.0,5300.0,84.0,466.0,IT Services & Consulting | Hyderabad +49 other locations
SBI Cards & Payment Services,15900.0,307.0,5200.0,74.0,344.0,Financial Services | Gurugram +443 other locations
BNY,31400.0,401.0,5200.0,75.0,528.0,Financial Services | Pune +26 other locations
Kalpataru Projects International,13800.0,332.0,5200.0,4.0,203.0,Engineering & Construction | Mumbai +325 other locations
IQVIA,31200.0,556.0,5200.0,42.0,524.0,Clinical Research | Bengaluru +66 other locations
NTT DATA,36500.0,748.0,5200.0,82.0,156.0,IT Services & Consulting | Bengaluru +81 other locations
Nagarjuna Construction Company,12200.0,443.0,5100.0,17.0,408.0,Engineering & Construction | Hyderabad +299 other locations
JustDial,15300.0,393.0,5100.0,90.0,372.0,Internet | Noida +232 other locations
Schneider Electric,25000.0,456.0,5100.0,170.0,436.0,Industrial Automation | Bengaluru +119 other locations
SBI Life Insurance Company,12100.0,308.0,5100.0,1.0,327.0,Insurance | Mumbai +659 other locations
CBRE,18900.0,352.0,5000.0,205.0,443.0,Real Estate | Hyderabad +92 other locations
TVS Motor,16000.0,404.0,5000.0,21.0,537.0,Automobile | Hosur +352 other locations
Persistent Systems,45600.0,713.0,5000.0,293.0,369.0,IT Services & Consulting | Pune +41 other locations
State Bank of India,11800.0,314.0,4900.0,10.0,400.0,Banking | Mumbai +621 other locations
Atos,33800.0,410.0,4900.0,96.0,456.0,IT Services & Consulting | Pune +49 other locations
vivo,13100.0,241.0,4900.0,5.0,643.0,Consumer Electronics & Appliances | Noida +415 other locations
KEC International,13500.0,422.0,4900.0,15.0,442.0,Engineering & Construction | Mumbai +312 other locations
Ecom Express,9400.0,264.0,4800.0,0.0,323.0,Logistics | Gurugram +778 other locations
Amdocs,37300.0,562.0,4800.0,15.0,614.0,Software Product | Pune +24 other locations
ITC Infotech,29800.0,420.0,4800.0,90.0,281.0,IT Services & Consulting | Bengaluru +68 other locations
