company,salaries,interviews,review,jobs,benefits,location
Sagility,12100.0,247.0,3100.0,104.0,36.0,BPO | Bengaluru +27 other locations
MSN Laboratories,9500.0,172.0,3100.0,27.0,155.0,Pharma | Hyderabad +105 other locations
Societe Generale Global Solution Centre,23100.0,297.0,3100.0,109.0,293.0,IT Services & Consulting | Bengaluru +23 other locations
Quest Global,21300.0,363.0,3000.0,161.0,191.0,IT Services & Consulting | Bengaluru +49 other locations
Afcons Infrastructure,8500.0,266.0,3000.0,30.0,309.0,Engineering & Construction | Mumbai +122 other locations
Future Group,6700.0,84.0,3000.0,0.0,423.0,Retail | Mumbai +207 other locations
Torrent Pharmaceuticals,10300.0,170.0,3000.0,24.0,310.0,Pharma | Ahmedabad +130 other locations
Ola Electric Mobility,9500.0,307.0,3000.0,0.0,76.0,Automobile | Bengaluru +430 other locations
IDFC FIRST Bharat,5000.0,151.0,3000.0,5.0,71.0,Financial Services | Chennai +432 other locations
ESAF Small Finance Bank,7300.0,169.0,3000.0,38.0,104.0,Banking | Thrissur +451 other locations
Square Yards,9300.0,230.0,3000.0,63.0,232.0,Internet | Gurugram +51 other locations
HDFC Sales,8400.0,192.0,3000.0,9.0,190.0,Financial Services | Mumbai +346 other locations
CMS IT Services,9400.0,159.0,3000.0,26.0,193.0,IT Services & Consulting | Mumbai +153 other locations
Zensar Technologies,25600.0,279.0,3000.0,151.0,243.0,IT Services & Consulting | Pune +29 other locations
I Process Services,5500.0,134.0,3000.0,0.0,127.0,Recruitment | Mumbai +406 other locations
DS Group,7300.0,222.0,2900.0,46.0,207.0,FMCG | Noida +285 other locations
ACC,9100.0,235.0,2900.0,0.0,271.0,Building Material | Mumbai +274 other locations
Suzlon Group,7900.0,178.0,2900.0,20.0,322.0,Power | Pune +141 other locations
Tata Elxsi,23200.0,341.0,2900.0,51.0,202.0,IT Services & Consulting | Bengaluru +30 other locations
Eternal Limited,14600.0,362.0,2900.0,14.0,218.0,Internet | Gurugram +220 other locations
Bharat Financial Inclusion,5200.0,125.0,2900.0,3.0,174.0,Financial Services | Hyderabad +501 other locations
Indus Towers,9200.0,226.0,2900.0,54.0,202.0,Telecom | Gurugram +243 other locations
Shoppers Stop,6900.0,145.0,2900.0,47.0,320.0,Retail | Mumbai +84 other locations
Fujitsu,17400.0,214.0,2900.0,157.0,190.0,IT Services & Consulting | Pune +41 other locations
VVDN Technologies,13800.0,259.0,2900.0,10.0,127.0,IT Services & Consulting | Gurugram +49 other locations
Nokia,16600.0,323.0,2900.0,135.0,539.0,Telecom | Bengaluru +167 other locations
Apollo Tyres,9900.0,153.0,2900.0,0.0,320.0,Auto Components | Chennai +179 other locations
IKS Health,11300.0,266.0,2900.0,27.0,225.0,Healthcare | Mumbai +31 other locations
Yazaki,9000.0,184.0,2900.0,1.0,253.0,Auto Components | Pune +94 other locations
Shree Cement,9900.0,224.0,2800.0,6.0,214.0,Building Material | Beawar +257 other locations
Fiserv,17800.0,194.0,2800.0,9.0,311.0,FinTech | Pune +33 other locations
Tata Electronics,11500.0,262.0,2800.0,79.0,61.0,Semiconductors | Hosur +53 other locations
Britannia,8400.0,233.0,2800.0,10.0,245.0,FMCG | Pune +307 other locations
Zepto,9400.0,451.0,2800.0,38.0,29.0,Internet | Bengaluru +104 other locations
UnitedHealth,14100.0,84.0,2800.0,0.0,432.0,Healthcare | Hyderabad +18 other locations
Landmark Group,9300.0,177.0,2800.0,11.0,267.0,Retail | Bengaluru +175 other locations
Dalmia Bharat Cement,4900.0,201.0,2800.0,2.0,243.0,Building Material | Guwahati +254 other locations
SRF,9000.0,210.0,2800.0,10.0,248.0,Chemicals | Bharuch +68 other locations
Blue Dart Express Ltd,6900.0,129.0,2700.0,17.0,233.0,Logistics | Mumbai +279 other locations
Kansai Nerolac Paints,7700.0,193.0,2700.0,67.0,189.0,Chemicals | Mumbai +253 other locations
Nestlé,9900.0,286.0,2700.0,9.0,319.0,FMCG | Gurugram +281 other locations
Exide Industries,8700.0,218.0,2700.0,70.0,242.0,Auto Components | Kolkata +200 other locations
Shell,14100.0,237.0,2700.0,73.0,257.0,Oil & Gas | Bengaluru +92 other locations
ZS,20400.0,527.0,2700.0,261.0,261.0,Management Consulting | Pune +17 other locations
KPMG Global Services,24000.0,259.0,2700.0,18.0,6.0,Management Consulting | Bengaluru +38 other locations
Flex,15800.0,213.0,2700.0,59.0,439.0,Electronics Manufacturing | Chennai +46 other locations
Whitehat jr,9300.0,265.0,2700.0,0.0,944.0,EdTech | Mumbai +48 other locations
Micro Labs,9900.0,152.0,2700.0,21.0,205.0,Pharma | Bengaluru +152 other locations
Star Health & Allied Insurance,10200.0,156.0,2700.0,25.0,164.0,Insurance | Chennai +333 other locations
TVS Supply Chain Solutions,8500.0,159.0,2700.0,15.0,191.0,Logistics | Chennai +154 other locations
ElasticRun,6200.0,275.0,2700.0,1.0,224.0,Logistics | Pune +387 other locations
Capita,12800.0,165.0,2700.0,58.0,330.0,BPO | Pune +31 other locations
KFintech,11200.0,174.0,2600.0,0.0,47.0,Financial Services | Hyderabad +114 other locations
G4S,5100.0,130.0,2600.0,799.0,236.0,Law Enforcement & Security | Gurugram +165 other locations
Exl India,15900.0,130.0,2600.0,1.0,163.0,Logistics | New Delhi +45 other locations
Voltas,8600.0,176.0,2600.0,7.0,257.0,Consumer Electronics & Appliances | Mumbai +207 other locations
Blue Star,9900.0,200.0,2600.0,31.0,237.0,Consumer Electronics & Appliances | Mumbai +147 other locations
Sonalika Tractors,9000.0,174.0,2600.0,3.0,173.0,Automobile | Hoshiarpur +195 other locations
Ajanta Pharma,8800.0,167.0,2600.0,8.0,214.0,Pharma | Mumbai +118 other locations
BlackBuck,6500.0,214.0,2600.0,24.0,245.0,Internet | Bengaluru +366 other locations
Care Health Insurance,8700.0,163.0,2600.0,80.0,166.0,Insurance | Gurugram +247 other locations
Movate,15000.0,295.0,2600.0,104.0,2.0,IT Services & Consulting | Chennai +38 other locations
Domino's Pizza,4300.0,126.0,2600.0,0.0,392.0,Hospitality | New Delhi +252 other locations
Physicswallah,8500.0,279.0,2600.0,300.0,20.0,EdTech | Noida +128 other locations
Gallagher,14300.0,270.0,2600.0,126.0,120.0,Insurance | Bengaluru +29 other locations
NoBroker,10700.0,283.0,2600.0,364.0,352.0,Internet | Bengaluru +47 other locations
Foxconn,10700.0,234.0,2600.0,17.0,171.0,Electronics Manufacturing | Chennai +62 other locations
Fortis Healthcare,7600.0,192.0,2600.0,832.0,139.0,Healthcare | New Delhi +70 other locations
Adani Power,10000.0,314.0,2600.0,0.0,162.0,Power | Mundra +128 other locations
DBS Bank,13100.0,196.0,2600.0,156.0,192.0,Banking | Hyderabad +178 other locations
ACT Fibernet,7800.0,160.0,2600.0,150.0,255.0,Telecom | Hyderabad +57 other locations
Himalaya Wellness,6200.0,149.0,2500.0,48.0,255.0,Pharma | Bengaluru +241 other locations
Tata Advanced Systems,12800.0,187.0,2500.0,0.0,132.0,Defence & Aerospace | Bengaluru +58 other locations
Sahrudaya Healthcare (Medicover Hospitals),3500.0,145.0,2500.0,36.0,36.0,Healthcare | Hyderabad +46 other locations
Foundever,8900.0,180.0,2500.0,84.0,199.0,BPO | Hyderabad +22 other locations
Photon Interactive,7400.0,134.0,2500.0,785.0,123.0,IT Services & Consulting | Chennai +19 other locations
BT Group,11600.0,227.0,2500.0,7.0,264.0,Telecom | Gurugram +25 other locations
Sterlite Technologies,10100.0,184.0,2500.0,117.0,208.0,Hardware & Networking | Chhatrapati Sambhajinagar +101 other locations
V-Mart,4400.0,193.0,2500.0,19.0,210.0,Retail | Gurugram +284 other locations
Alldigi Tech,7600.0,234.0,2500.0,50.0,112.0,BPO | Chennai +36 other locations
IntouchCX,10000.0,240.0,2500.0,225.0,146.0,BPO | Hyderabad +22 other locations
Bajaj Electricals,7500.0,152.0,2500.0,21.0,289.0,Consumer Electronics & Appliances | Mumbai +235 other locations
Tractors and Farm Equipment,8500.0,136.0,2500.0,18.0,275.0,Industrial Machinery | Chennai +192 other locations
Sammaan Capital Limited,5800.0,113.0,2500.0,12.0,118.0,NBFC | Gurugram +201 other locations
Northern Trust Operating Services,17300.0,243.0,2500.0,65.0,225.0,Financial Services | Bengaluru +27 other locations
Laurus Labs,7300.0,155.0,2500.0,4.0,206.0,Pharma | Visakhapatnam +34 other locations
JCB,9600.0,169.0,2500.0,0.0,233.0,Industrial Machinery | Pune +113 other locations
Parle Agro,6700.0,147.0,2500.0,0.0,212.0,Beverage | Mumbai +258 other locations
Canara HSBC Life Insurance,6300.0,138.0,2500.0,5.0,168.0,Insurance | Gurugram +321 other locations
Planet Spark,3500.0,594.0,2400.0,73.0,191.0,EdTech | Gurugram +61 other locations
McDonald's,4900.0,155.0,2400.0,3.0,410.0,Hospitality | New Delhi +151 other locations
Patanjali Ayurved,5800.0,137.0,2400.0,0.0,248.0,FMCG | Haridwar +301 other locations
ICICI Securities,9700.0,198.0,2400.0,1.0,184.0,Financial Services | Mumbai +148 other locations
Paras Hospital,3200.0,99.0,2400.0,87.0,126.0,Healthcare | Patna +62 other locations
Hero FinCorp,5800.0,122.0,2400.0,83.0,129.0,NBFC | New Delhi +393 other locations
Emcure Pharmaceuticals,8400.0,126.0,2400.0,60.0,233.0,Pharma | Pune +116 other locations
Statestreet HCL Services,13500.0,219.0,2400.0,0.0,201.0,BPO | Chennai +18 other locations
Biocon Limited,11600.0,187.0,2400.0,8.0,2.0,Biotechnology | Bengaluru +65 other locations
Intellect Design Arena,13500.0,182.0,2400.0,30.0,118.0,Software Product | Chennai +40 other locations
Mahindra Rural Housing Finance,4700.0,104.0,2400.0,17.0,180.0,NBFC | Mumbai +466 other locations
Datamatics Global Services,11700.0,181.0,2400.0,63.0,183.0,IT Services & Consulting | Mumbai +37 other locations
Mahindra Holidays & Resorts,5900.0,128.0,2400.0,66.0,202.0,Hospitality | Mumbai +113 other locations
Mahindra Holidays & Resorts,5900.0,128.0,2400.0,66.0,202.0,Hospitality | Mumbai +113 other locations
CorroHealth Infotech,7400.0,281.0,2400.0,50.0,9.0,Analytics & KPO | Hyderabad +35 other locations
Taj Hotels Resorts and Palaces,4800.0,161.0,2400.0,474.0,178.0,Hospitality | Mumbai +111 other locations
Aditya Birla Group,10000.0,242.0,2400.0,7.0,248.0,Metals & Mining | Mumbai +269 other locations
Axis Direct,4600.0,87.0,2400.0,47.0,226.0,Financial Services | Mumbai +271 other locations
Cadila Pharmaceuticals,8000.0,158.0,2400.0,107.0,167.0,Pharma | Ahmedabad +135 other locations
Cholamandalam MS General Insurance,6000.0,115.0,2400.0,0.0,166.0,Insurance | Chennai +388 other locations
Syngene International,12600.0,191.0,2400.0,5.0,216.0,Clinical Research | Bengaluru +21 other locations
3i Infotech,10700.0,166.0,2400.0,80.0,149.0,IT Services & Consulting | Mumbai +130 other locations
Info Edge,11300.0,381.0,2400.0,390.0,298.0,Internet | Noida +69 other locations
Capgemini Engineering,14100.0,397.0,2300.0,0.0,139.0,IT Services & Consulting | Bengaluru +28 other locations
Bureau Veritas,8100.0,143.0,2300.0,20.0,176.0,Other | Mumbai +146 other locations
KocharTech,3800.0,81.0,2300.0,30.0,582.0,IT Services & Consulting | Kolkata +25 other locations
TaskUs,9500.0,223.0,2300.0,292.0,118.0,BPO | Indore +35 other locations
Delhi Public School,5300.0,156.0,2300.0,141.0,258.0,Education & Training | New Delhi +276 other locations
Aavas Financiers,5500.0,121.0,2300.0,42.0,138.0,NBFC | Jaipur +294 other locations
RMSI,8800.0,195.0,2300.0,14.0,184.0,IT Services & Consulting | Hyderabad +25 other locations
Cybage,17200.0,213.0,2300.0,18.0,268.0,IT Services & Consulting | Pune +15 other locations
Xoriant,11600.0,234.0,2300.0,35.0,413.0,IT Services & Consulting | Pune +23 other locations
Straive,10200.0,221.0,2300.0,97.0,122.0,IT Services & Consulting | Chennai +31 other locations
Sopra Steria,14100.0,184.0,2300.0,103.0,240.0,IT Services & Consulting | Noida +20 other locations
Kia India,8200.0,179.0,2300.0,80.0,166.0,Automobile | Anantapur +188 other locations
Akums Drugs & Pharmaceuticals Limited,6300.0,330.0,2300.0,16.0,147.0,Pharma | Haridwar +38 other locations
Lifestyle,6700.0,83.0,2300.0,20.0,278.0,Retail | Bengaluru +129 other locations
GVK Emergency Management and Research Institute,4600.0,118.0,2300.0,60.0,177.0,Non-Profit | Lucknow +214 other locations
Eureka Forbes,5600.0,92.0,2300.0,8.0,227.0,Consumer Electronics & Appliances | Mumbai +185 other locations
Sobha,8300.0,165.0,2300.0,45.0,220.0,Real Estate | Bengaluru +38 other locations
Apollo Pharmacy,6800.0,186.0,2300.0,1000.0,128.0,Pharma | Hyderabad +287 other locations
Lodha,8800.0,173.0,2300.0,191.0,173.0,Real Estate | Mumbai +30 other locations
Unacademy,10200.0,239.0,2300.0,39.0,153.0,EdTech | Bengaluru +73 other locations
Radisson Hotels,5100.0,104.0,2200.0,399.0,312.0,Hospitality | New Delhi +129 other locations
GAO Tek,260.0,576.0,2200.0,0.0,26.0,Electrical Equipment | New York +41 other locations
Myntra,10500.0,340.0,2200.0,8.0,305.0,Internet | Bengaluru +103 other locations
Endurance Technologies Limited,7800.0,137.0,2200.0,13.0,230.0,Auto Components | Chhatrapati Sambhajinagar +51 other locations
SBI Securities,6700.0,185.0,2200.0,43.0,105.0,Financial Services | Mumbai +317 other locations
Team Computers,8500.0,200.0,2200.0,178.0,115.0,IT Services & Consulting | New Delhi +107 other locations
TCE,9500.0,294.0,2200.0,25.0,165.0,Engineering & Construction | Mumbai +132 other locations
Newgen Software Technologies,11600.0,204.0,2200.0,47.0,147.0,IT Services & Consulting | Noida +32 other locations
Panasonic Life Solutions India,6800.0,97.0,2200.0,19.0,105.0,Consumer Electronics & Appliances | Haridwar +168 other locations
AWL Agri Business,6800.0,133.0,2200.0,17.0,171.0,FMCG | Ahmedabad +201 other locations
Star Union Dai-ichi Life Insurance,5300.0,136.0,2200.0,14.0,95.0,Insurance | Mumbai +321 other locations
Lava International,4400.0,87.0,2200.0,1.0,302.0,Consumer Electronics & Appliances | Noida +222 other locations
Daikin Airconditioning India Pvt. Ltd.,7800.0,207.0,2200.0,1.0,144.0,Consumer Electronics & Appliances | Neemrana +109 other locations
Bharti AXA Life Insurance,5200.0,149.0,2200.0,32.0,170.0,Insurance | Mumbai +243 other locations
Cisco,18800.0,413.0,2200.0,177.0,223.0,Hardware & Networking | Bengaluru +46 other locations
BNP Paribas,18300.0,216.0,2200.0,25.0,174.0,Banking | Mumbai +27 other locations
Whirlpool,8000.0,119.0,2200.0,13.0,202.0,Consumer Electronics & Appliances | Pune +173 other locations
SBI General Insurance,6500.0,130.0,2200.0,30.0,132.0,Insurance | Mumbai +291 other locations
Indian Railways,3400.0,114.0,2200.0,0.0,159.0,Railways | Kolkata +249 other locations
Meesho,9500.0,428.0,2200.0,179.0,297.0,Internet | Bengaluru +133 other locations
Coromandel International,7600.0,127.0,2200.0,14.0,218.0,Agro Chemicals | Visakhapatnam +183 other locations
GlaxoSmithKline Pharmaceuticals,5700.0,126.0,2200.0,40.0,112.0,Pharma | Bengaluru +216 other locations
Renault Nissan Technology & Business Centre India,14700.0,153.0,2200.0,29.0,210.0,Automobile | Chennai +19 other locations
Shahi Exports,6900.0,125.0,2200.0,43.0,228.0,Fashion & Textile | Bengaluru +72 other locations
Ambuja Cements,6100.0,162.0,2200.0,0.0,211.0,Building Material | Mumbai +261 other locations
Sify Technologies,9900.0,148.0,2200.0,60.0,152.0,IT Services & Consulting | Chennai +133 other locations
Allstate,12200.0,155.0,2200.0,10.0,186.0,Insurance | Pune +17 other locations
ValueLabs,16100.000000000002,217.0,2200.0,83.0,266.0,IT Services & Consulting | Hyderabad +20 other locations
Nokia Networks,10400.0,126.0,2200.0,0.0,10.0,Hardware & Networking | Chennai +87 other locations
Bank of Baroda,7100.0,120.0,2100.0,0.0,150.0,Banking | Mumbai +301 other locations
Microsoft Corporation,29800.0,620.0,2100.0,0.0,196.0,Software Product | Bengaluru +47 other locations
Life Insurance Corporation of India,4500.0,100.0,2100.0,1.0,242.0,Insurance | New Delhi +470 other locations
Brakes India,7100.0,107.0,2100.0,8.0,212.0,Auto Components | Chennai +100 other locations
BHEL,5200.0,136.0,2100.0,0.0,231.0,Electrical Equipment | Bengaluru +129 other locations
Spark Minda,7200.0,161.0,2100.0,3.0,36.0,Auto Components | Pune +75 other locations
Cargill,8500.0,112.0,2100.0,307.0,148.0,Food Processing | Bengaluru +121 other locations
Poonawalla Fincorp,5800.0,84.0,2100.0,19.0,129.0,NBFC | Pune +263 other locations
Mercedes-Benz Research and Development India,17800.0,208.0,2100.0,332.0,195.0,IT Services & Consulting | Bengaluru +52 other locations
upGrad,9200.0,217.0,2100.0,79.0,125.0,EdTech | Bengaluru +50 other locations
Huawei Technologies,8000.0,119.0,2100.0,34.0,288.0,Telecom | Bengaluru +104 other locations
JK Tyre,6800.0,154.0,2100.0,0.0,189.0,Auto Components | Chennai +147 other locations
CAMS,8600.0,148.0,2100.0,17.0,50.0,Financial Services | Chennai +108 other locations
Generali Central Life Insurance,6700.0,118.0,2100.0,6.0,163.0,Insurance | Mumbai +201 other locations
FirstCry,8600.0,211.0,2100.0,1.0,70.0,Retail | Pune +213 other locations
Power Mech Projects,6800.0,123.0,2100.0,13.0,158.0,Engineering & Construction | Hyderabad +152 other locations
Saint-Gobain,11600.0,205.0,2100.0,164.0,243.0,Building Material | Mumbai +104 other locations
Jio Platforms,14200.0,259.0,2100.0,0.0,62.0,IT Services & Consulting | Mumbai +104 other locations
Pfizer,5800.0,87.0,2100.0,55.0,276.0,Pharma | Visakhapatnam +133 other locations
Simplex Infrastructures,4400.0,83.0,2100.0,2.0,286.0,Engineering & Construction | Kolkata +139 other locations
Bharat Petroleum,6900.0,174.0,2100.0,0.0,187.0,Oil & Gas | Mumbai +261 other locations
Nuvoco Vistas,6900.0,130.0,2100.0,22.0,127.0,Building Material | Kolkata +199 other locations
"Maruti Suzuki India Limited, Hansalpur",6800.0,228.0,2100.0,0.0,113.0,Automobile | Ahmedabad +107 other locations
NTT DATA Business Solutions,12500.0,274.0,2100.0,29.0,14.0,IT Services & Consulting | Bengaluru +32 other locations
Force Motors,8300.0,145.0,2100.0,8.0,152.0,Automobile | Pune +106 other locations
Manipal Hospitals,6900.0,137.0,2100.0,90.0,136.0,Healthcare | Bengaluru +66 other locations
Kotak Securities,9500.0,145.0,2100.0,35.0,153.0,Financial Services | Mumbai +140 other locations
Raymond Lifestyle Limited,6400.0,115.0,2100.0,0.0,230.0,Fashion & Textile | Mumbai +149 other locations
Reliance Trends,4200.0,123.0,2100.0,0.0,220.0,Retail | Bengaluru +393 other locations
Ola Cabs,9100.0,153.0,2100.0,14.0,227.0,Internet | Bengaluru +112 other locations
ITC Hotels,5300.0,104.0,2100.0,0.0,199.0,Hospitality | Bengaluru +95 other locations
Infinite Computer Solutions,15200.0,174.0,2000.0,244.0,105.0,IT Services & Consulting | Bengaluru +36 other locations
CitiusTech,14400.0,316.0,2000.0,39.0,163.0,IT Services & Consulting | Mumbai +17 other locations
Renault-Nissan,7600.0,125.0,2000.0,0.0,268.0,Automobile | Chennai +86 other locations
IndusInd General Insurance,7100.0,99.0,2000.0,13.0,131.0,Insurance | Mumbai +194 other locations
Delphi TVS,5600.0,100.0,2000.0,3.0,192.0,Auto Components | Chennai +61 other locations
Biological E,7000.0,144.0,2000.0,34.0,221.0,Pharma | Hyderabad +72 other locations
Extramarks Education,7500.0,172.0,2000.0,3.0,142.0,EdTech | Noida +111 other locations
Henry Harvin Education,919.0,74.0,2000.0,47.0,63.0,EdTech | Noida +33 other locations
Morgan Stanley,26600.0,338.0,2000.0,7.0,151.0,Financial Services | Mumbai +19 other locations
SGS,6400.0,126.0,2000.0,137.0,178.0,"Testing, Inspection and Certification (TIC) | Mumbai +146 other locations"
EPAM Systems,22700.0,632.0,2000.0,223.0,132.0,IT Services & Consulting | Hyderabad +36 other locations
YASH Technologies,16200.0,171.0,2000.0,469.0,172.0,IT Services & Consulting | Hyderabad +31 other locations
K12 Techno Services,5200.0,424.0,2000.0,409.0,61.0,EdTech | Bengaluru +43 other locations
Senco Gold,1500.0,633.0,2000.0,1.0,35.0,Jewellery | Kolkata +79 other locations
Ninjacart,5000.0,103.0,2000.0,23.0,137.0,Internet | Bengaluru +112 other locations
Novartis,10200.0,168.0,2000.0,129.0,226.0,Pharma | Hyderabad +75 other locations
State Street Syntel,7000.0,80.0,2000.0,0.0,281.0,Financial Services | Mumbai +21 other locations
Aditya Birla Health Insurance Co,7200.0,124.0,2000.0,3.0,93.0,Insurance | Mumbai +254 other locations
SAP,17600.0,317.0,2000.0,0.0,284.0,Software Product | Bengaluru +54 other locations
Narayana Health,6000.0,95.0,2000.0,120.0,143.0,Healthcare | Bengaluru +64 other locations
IDBI Bank,6100.0,84.0,2000.0,0.0,137.0,Banking | Mumbai +336 other locations
HSBC Electronic Data Processing,8600.0,90.0,2000.0,0.0,20.0,IT Services & Consulting | Bengaluru +19 other locations
L&T Energy Hydrocarbon,8400.0,118.0,2000.0,0.0,201.0,Engineering & Construction | Vadodara +88 other locations
AECOM,7000.0,151.0,1900.0,175.0,243.0,Engineering & Construction | Gurugram +122 other locations
Paisabazaar.com,7000.0,169.0,1900.0,40.0,98.0,Internet | Gurugram +35 other locations
Shadowfax Technologies,7600.0,168.0,1900.0,74.0,81.0,Logistics | Bengaluru +243 other locations
Honeywell Automation,12100.0,133.0,1900.0,0.0,159.0,Industrial Automation | Pune +78 other locations
Schindler,6200.0,124.0,1900.0,69.0,194.0,Industrial Machinery | Pune +89 other locations
Haier Appliances India,7000.0,164.0,1900.0,51.0,166.0,Consumer Electronics & Appliances | Pune +161 other locations
Trent,4800.0,109.0,1900.0,16.0,133.0,Retail | Mumbai +146 other locations
R.R. Donnelley,10100.0,128.0,1900.0,28.0,243.0,Marketing & Advertising | Chennai +26 other locations
Motherson Automotive Technologies and Engineering,7600.0,157.0,1900.0,28.0,151.0,Auto Components | Chennai +68 other locations
NCR Voyix,9300.0,143.0,1900.0,20.0,173.0,IT Services & Consulting | Hyderabad +90 other locations
Microland,10700.0,144.0,1900.0,414.0,158.0,IT Services & Consulting | Bengaluru +45 other locations
Philips,11000.0,178.0,1900.0,119.0,180.0,Medical Equipment | Bengaluru +97 other locations
Dr Lal PathLabs,4400.0,179.0,1900.0,90.0,192.0,Healthcare | New Delhi +201 other locations
Gabriel India Limited,5800.0,132.0,1900.0,0.0,249.0,Auto Components | Pune +52 other locations
Parle Products,3700.0,122.0,1900.0,6.0,202.0,FMCG | Mumbai +250 other locations
V-Guard Industries,4500.0,117.0,1900.0,42.0,274.0,Consumer Electronics & Appliances | Kochi +169 other locations
Uflex,6700.0,127.0,1900.0,56.0,117.0,Packaging | Noida +46 other locations
CMS Infosystems,4700.0,80.0,1900.0,8.0,104.0,Software Product | Mumbai +220 other locations
Crisil,13300.0,214.0,1900.0,725.0,222.0,Analytics & KPO | Mumbai +81 other locations
Globiva,5300.0,138.0,1900.0,187.0,83.0,BPO | Gurugram +30 other locations
Spinny,7500.0,208.0,1900.0,36.0,101.0,Internet | Gurugram +63 other locations
Adecco Group,7200.0,119.0,1900.0,0.0,137.0,Recruitment | Bengaluru +181 other locations
Google,33300.0,1000.0,1900.0,524.0,132.0,Software Product | Bengaluru +86 other locations
CNH (Case New Holland),6000.0,138.0,1900.0,15.0,162.0,Industrial Machinery | Gurugram +136 other locations
Angel One,7500.0,169.0,1900.0,31.0,153.0,FinTech | Mumbai +132 other locations
G R Infraprojects,5400.0,164.0,1900.0,29.0,158.0,Engineering & Construction | Gurugram +159 other locations
Tekwissen,585.0,341.0,1900.0,71.0,3.0,IT Services & Consulting | Visakhapatnam +5 other locations
Aye Finance,3500.0,97.0,1900.0,21.0,115.0,NBFC | Gurugram +370 other locations
Safexpress,5700.0,128.0,1900.0,13.0,148.0,Logistics | New Delhi +159 other locations
DHL Supply Chain,6100.0,123.0,1900.0,128.0,137.0,Logistics | Mumbai +101 other locations
Lucas-TVS,6000.0,91.0,1900.0,6.0,212.0,Auto Components | Chennai +78 other locations
Aadhar Housing Finance,5000.0,118.0,1900.0,3.0,99.0,NBFC | Mumbai +326 other locations
HTC Global Services,13100.0,165.0,1900.0,10.0,108.0,IT Services & Consulting | Chennai +32 other locations
NTPC,4300.0,184.0,1900.0,0.0,175.0,Power | New Delhi +125 other locations
Tata Power,7300.0,216.0,1900.0,17.0,123.0,Power | Mumbai +152 other locations
Infinx,5300.0,208.0,1900.0,39.0,72.0,Software Product | Hyderabad +36 other locations
Trident Group,5400.0,136.0,1900.0,24.0,122.0,Fashion & Textile | Barnala +58 other locations
Thomson Reuters,10700.0,138.0,1900.0,102.0,226.0,Software Product | Bengaluru +27 other locations
Tata Tele Business Services,4500.0,54.0,1900.0,39.0,274.0,Telecom | Mumbai +136 other locations
Iris Software,7900.0,206.0,1900.0,672.0,245.0,IT Services & Consulting | Noida +23 other locations
Hindustan Aeronautics,4300.0,87.0,1900.0,0.0,173.0,Defence & Aerospace | Bengaluru +64 other locations
TVS Sundram Fasteners,6600.0,93.0,1900.0,0.0,203.0,Auto Components | Chennai +66 other locations
ICICI Home Finance,5500.0,101.0,1900.0,15.0,87.0,Financial Services | Mumbai +221 other locations
PI Industries,6900.0,138.0,1900.0,14.0,162.0,Agro Chemicals | Vadodara +107 other locations
CSB Bank,6800.0,107.0,1800.0,734.0,44.0,Banking | Mumbai +235 other locations
NeoSOFT,10700.0,301.0,1800.0,77.0,101.0,IT Services & Consulting | Mumbai +24 other locations
Torrent Power,7800.0,163.0,1800.0,69.0,157.0,Power | Ahmedabad +61 other locations
KENT RO Systems,4500.0,101.0,1800.0,3.0,106.0,Consumer Electronics & Appliances | Noida +154 other locations
Jindal Saw,6500.0,145.0,1800.0,4.0,182.0,Iron & Steel | Mundra +76 other locations
Verizon,11700.0,134.0,1800.0,3.0,200.0,Telecom | Hyderabad +11 other locations
Aragen Life Sciences,6500.0,127.0,1800.0,102.0,298.0,Clinical Research | Hyderabad +29 other locations
TELUS Digital,9700.0,137.0,1800.0,45.0,36.0,IT Services & Consulting | Noida +26 other locations
Polycab Wires,7200.0,133.0,1800.0,51.0,88.0,Electrical Equipment | Vadodara +167 other locations
First American (India),9400.0,100.0,1800.0,52.0,172.0,Insurance | Bengaluru +22 other locations
Medi Assist India,7300.0,136.0,1800.0,12.0,139.0,Insurance | Bengaluru +66 other locations
AXA Global Business Services,7200.0,104.0,1800.0,15.0,171.0,IT Services & Consulting | Pune +11 other locations
Honda Cars,6300.0,113.0,1800.0,0.0,182.0,Automobile | Bhiwadi +117 other locations
Fusion CX,4500.0,143.0,1800.0,129.0,98.0,BPO | Kolkata +58 other locations
Infra.Market,3700.0,278.0,1800.0,6.0,35.0,Building Material | Mumbai +132 other locations
AkzoNobel,4300.0,141.0,1800.0,23.0,132.0,Chemicals | Pune +162 other locations
Capri Global Capital,4100.0,73.0,1800.0,12.0,37.0,NBFC | New Delhi +333 other locations
Sterling & Wilson,6700.0,83.0,1800.0,40.0,200.0,Engineering & Construction | Mumbai +130 other locations
Godrej Properties,8900.0,130.0,1800.0,3.0,106.0,Real Estate | Mumbai +34 other locations
Innovsource Services,4600.0,76.0,1800.0,0.0,125.0,Recruitment | Mumbai +251 other locations
Haldiram Foods International Limited,5900.0,155.0,1800.0,0.0,99.0,FMCG | Nagpur +166 other locations
DIVI'S Laboratories,6900.0,103.0,1800.0,0.0,175.0,Pharma | Visakhapatnam +37 other locations
Cafe Coffee Day,3700.0,82.0,1800.0,8.0,179.0,Hospitality | Bengaluru +105 other locations
MetLife,9300.0,102.0,1800.0,58.0,235.0,Insurance | Noida +44 other locations
